,title,text,tags
0,      NLP pipeline в чатботе - текущее состояние и задачи  ," NLP pipeline включает несколько отдельных питоновских пакетов. Эти пакеты реализуют часть типовой функциональности для NLP - токенизация, лемматизация, частеречная разметка и т.д. Эта группа может использоваться (и используется) независимо от  чатбота . Кроме того, несколько алгоритмов ""растворено"" в кодовой базе чатбота. Например, машобучаемый NER, модели синонимичности и релевантности и т.д. Далее - текущее состояние для пакетов из первой группы. rusyllab  - разбивка слова на слоги. Реализован простой жадный алгоритм разбивки на слоги. Предполагалось, что разбивка на слоги даст дополнительные фичи для некоторых ML моделей, в частности за счет выделения корня вместо стема. В настоящее время очень удачно применен в задаче генерации датасета для обучения спеллчекера, так как типовая ошибка расщепления слова тяготеет к границам слогов :""не большой"" вместо ""небольшой"" и т.д. rutokenizer  - сегментация текста на предложения, токенизация предложений на слова с учетом некоторых составных слов из  русской словарной базы . Под капотом - регулярки и табличные проверки исключений. Используется в различных прототипах и экспериментах, в том числе в  проекте нового парсера . ruword2tags  - грамматический словарь, содержащий теги для русского лексикона. Сделан как замена  прежнего грамматического словаря , конвертируется из его 5-миллионной словарной базы. Используется автономно в экспериментах как поставщик грамматических фич, например в ML моделях для спеллчекера. Также этот словарь используется в  rupostagger  и rusyntax. В этом же пакете есть ""flexer"" - инструмент для склонения и спряжения слов, он активно юзается в генеративной грамматике чатбота. Из проблем: к сожалению, в какой-то момент выяснилось, что на некоторых машинах git clone или pip install git+ из этого репозитория приводит к некорректно скачанному файлу базы данных. Что с этим делать, я пока не придумал. rupostagger  - part-of-tagger на ванильном машобуче. Обучается на достаточно большом датасете, около 800,000 токенов с частичной ручной валидацией. Используется во многих проектах, в том числе в чатботе. Лемматизатор  rulemma  работает поверх разметки, которую выдает этот модуль, для учета контекста в случае неоднозначной лемматизации. Основная проблема с этим модулем - достаточно медленно обучение, длящееся сутками. Для этой задачи у меня есть еще две альтернативные реализации, которые не выложены на гитхаб. rupostagger2  - нейросетевой вариант теггера, на основе рекуррентных сеток. Обучается на таком же датасете, что и rupostagger, плюс использует эмбеддинги слов. Обучается примерно за 2 часа на одной GTX 1080 Ti, дает немного лучшее качество, чем rupostagger. rupostagger3  - нейросететка плюс эмбеддинг предложения через BERT. Экспериментальная модель. Обучается тяжело, пока качество хуже, чем у rupostagger2. rulemma  - лемматизация с учетом грамматического контекста для случаев неоднозначности. Например, слово ""рой"" может быть императивной формой глагола или именем существительным. Это дает разные нормальные формы: ""рыть"" и ""рой"". Учет результатов частеречной разметки из rupostagger позволяет разрешать часть подобных неоднозначностей. ruchunker  - экстрактор именных группы (NP chunks). Облегчает в чатботе выделение фрагментов реплик пользователя. Реализован на  ванильном машобуче. Обучается на датасете из ~400,000 предложениях с размеченным NP. Не выложеные на гитхаб пакеты: rusyntax2  - парсер зависимостей. Нейросетевая рекуррентная модель, реализующая sequence labeling. Обучается на большом treebank'е с ручной разметкой. Позволяет, например, определить, какие зависимые прилагательные надо пересогласовывать при изменении формы существительного. rusyntax3  - аналогично rusyntax2, но реализован восходящий  shift-reduce парсер с бинарными правилами, в котором вместо ручных правил работает классификатор (shift or reduce). Обучается на treebank, который сначала приводится к цепочке действий для каждого предложения на базе известного синтаксического графа.",github||nlp
1,      NP чанкер и прототип шаблонизатора ответов для чатбота  ," В наборе NLP модулей для  чатбота  добавился очередной - NP chunker. Его прототип я уже кратко описывал  тут . Для удобства использования в разных проектах чанкер именных групп выделен в отдельный модуль  ruchunker . В чатботе он позволяет делать следующее. Допустим, пользователь вводит вопрос: H: Как ты относишься к  квантовым процессорам ? Если движок бота не может найти в базе фактов и в FAQ материал для ответа, то ему остается выдать некий  шаблонный ответ типа ""Нет соответствующей информации"" . Чтобы немного разнообразить реакцию бота, можно выделить в вопросе собеседника именную группу и использовать при генерации ответа: B: Мне ничего не известно про  квантовые процессоры Технически это выглядит как последовательность шагов: 1. NP чанкер выделяет именные группы. 2. Реплика собеседника сопоставляется с маской, при этом именные группы учитываются как единые элементы при вычислении расстояния Левенштейна. Одновременно при сопоставлении маски происходит присваивание сматченных именных групп неким переменным. 3. Генерируется ответ на основе шаблона, в котором указываются имена сопоставленных чанков из п.3. При этом может потребоваться просклонять и пересогласовать элементы чанка в нужную грамматическую форму. Соответствующее правило  выглядит вот так: 
             if:
                match:
                    - 'как я отношусь к NP1'
                    - 'что мне известно о NP1'
                    - 'расскажи мне о NP1'

            then:
                say:
                    - 'Мне ничего не известно про $NP1(ВИН)'
                    - 'Я ничего знаю о $NP1(ПРЕДЛ)'
                    - 'Я не знаю, что такое ""$NP1(ИМ)""'
                    - 'У меня нет информации о $NP1(ПРЕДЛ)'
 Этот механизм нужно будет отшлифовать рядом расширений. Например, добавить возможность ссылаться в шаблоне ответа на результаты NER. Тогда для входных реплик ""Какая погода будет  в пятницу "" и ""Какая погода будет  завтра "" можно в ответе подставлять упомянутый момент времени без привязки к его синтаксическому оформлению в виде предложной или наречной группы.",chatbot||chunker||named entry recognition||ner||существительное
2,      Датасет для тренировки NP chunker'а  ," В  репозиторий ""NLP Datasets""  выложен  датасет для тренировки NP чанкера . NP chunker - это вариант  shallow parser'а , извлекающего из предлождений группы существительного (noun phrases). Вот результаты разметки нескольких предложений для иллюстрации идеи: « ⟦  Школа   злословия   »  ⟧ учит прикусить ⟦  язык  ⟧ Сохранится ли ⟦  градус   дискуссии   в   новом   сезоне  ⟧ ? ⟦  Великолепная   «   Школа   злословия   »  ⟧ вернулась в ⟦  эфир  ⟧ после ⟦  летних   каникул  ⟧ в ⟦  новом   формате  ⟧ Потом ⟦  проект  ⟧ переехал с ⟦  «   Культуры   »  ⟧ на ⟦  НТВ  ⟧ Скобочки ⟦ и ⟧ добавлены при разметке для визуальной отбивки границ смежных чанков. Тренировочный датасет получен автоматической конвертацией tree bank'а из  проекта Грамматического Словаря . Выглядит датасет примерно так: 
 0 Но
1 справедливый
2 судья
0 обязан
0 выслушать
1 разные
2 стороны
2 и
2 все
2 точки
2 зрения
0 .
 
 Записи для разных предложений разделяются пустой строкой. Первое поле каждой записи содержит числовую пометку 0, 1 или 2: 0 - слово не входит в именную группу 1 - слово начинает новый NP chunk 2 - слово продолжает ранее начатый NP chunk Таким образом, смежные чанки разделяются меткой 2. По задумке модель NP чанкера будет использоваться в  чатботе  в новых диалоговых правилах как эффективный механизм извлечения информации из реплик собеседника, например: - Что такое [NP  виртуальная реальность ], скажи мне.",chatbot||chunker||chunking||dataset||nlp||существительное
3,      Небольшое исследование качества корпуса PARUS на гитхабе  ," По поводу вот этого корпуса  https://parus-proj.github.io/PaRuS/ Архив с корпусом в формате Conll после распаковки имеет размер около 130 Гб. То есть данных много. Закономерный вопрос - насколько качественны эти данные, учитывая, что ручной модерации они не подвергались в силу объема. Я сделал небольшой лексический анализ. Искал словоформы, которые отсутствуют в лексиконе  Грамматического Словаря . Видно, что данные в какой-то степени грязные. Например, есть ""существительные"" (лемма + слово): 2016-й 2016-го а да-а августой августой аврелие аврелий автоконцерный автоконцерны акий аким андре андреу ""Прилагательные"" (лемма + слово): инфосистема инфосистемы коврино коврино котеночей котеночьи мальдивый мальдив навыкать навыкате намерный намерен подо поже ""Наречия"": гимпа гимпу главное главное говорят говорят казнить казнено 30 су-30 33 су-33 34 су-34 35 су-35 38 ми-38 38 ил-38 39 ам-39 Есть и проблемы с токенизацией, например встречаются такие ""слова"": ­ожидается,­ нельзя…— неукомплекто- двух- делать- фильма— разоткровенничалась,- если,- есть,— говорила,— вдруг- если,— кстати.-",github||корпус||лексика
4,      Релиз чатбота: заготовки для будущих skill'ов  ," В  новом релизе чатбота  сделана группа важных взаимодополняющих изменений. 1) Расширен и частично переработан набор intent'ов. По результатам предварительного анализа типичных вопросов в датасете ""Mail.ru Ответы"", добавлены несколько новых интентов для частых запросов в чатботах, например 'определение объекта на фотографии', 'поиск книги по описанию', 'odqa - вопросы к Википедии' и т.д. 2) Для этих интентов сделаны заготовки сценариев, в которых в будущем можно будет реализовать соответствующие skill'ы с детальной обработкой вариантов запросов. Например, в ответ на реплику ""помоги решить задачу по математике"" чатбот сейчас выдаст: ""Мастер помощи с домашними заданиями еще не реализован!"". По этой реплике можно найти исходник соответствующего сценария в файле  rules.yaml . 3) Запуск новых сценариев для skill'ов происходит в случае, если не получилось найти ответ в базе фактов или FAQ. Например, для вопроса ""Что такое хрусталик?"" бот выдаст ответ из  FAQ , а для вопроса ""Что такое бензокаин?"" будет запущен odqa-сценарий. Тестовый диалог с чатботом выглядит так: B:> Добрый день H:> привет, помоги решить задачку по физике B:> Мастер помощи с домашними заданиями еще не реализован! H:> посоветуй, где купить мощный ноутбук B:> Сценарий рекомендаций по покупке еще не реализован! H:> что делать, если я потерял паспорт B:> Сценарий решения юридических вопросов еще не реализован! H:> Что такое бензокаин? B:> Сценарий поиска определений в Википедии еще не реализован! H:> что такое хрусталик B:> Хрусталик представляет собой прозрачное двояковыпуклое округлое эластичное образование H:> что такое Луна B:> Луна это естественный спутник Земли. H:> Что такое Церера B:> Церера - ближайшая к Солнцу и наименьшая среди известных карликовых планет Солнечной системы. H:> Что такое пояс Койпера B:> Сценарий поиска определений в Википедии еще не реализован! H:> какая температура считается опасной для ребенка? B:> Мастер помощи с по вопросам здоровья и медицины еще не реализован! H:> Как сбить температуру у ребенка? B:> Высокую температуру у ребенка можно сбить с помощью детского Нурофена",chatbot
5,"      Чат-бот 0.0.2.5: константы профиля, шаблонизатор фактов и правил, генератор скриптов для чит-чата  "," Две новые фичи в  этом релизе чатбота : 1)  Константы профиля , например имя бота в именительном падеже ""name_nomn"", задаются в одном  файле профиля  и могут автоматически подставляться в строки фактов, FAQ, правил. Шаблонизатор также позволяет учитывать константу рода ""gender"" для приведения реплик бота к согласованному с профилем виду. Пример использования константы можно увидеть в самом начале  файла с фактами : меня зовут $name_nomn Когда бот загружает содержимое этого файла, он подставляет фактические значения констант вместо $имя_константы. Таким образом, имя бота задается в одном месте. Аналогичный механизм действует для  функций шаблонизации . Константа с именем ""gender"" определяет грамматический род для бота, в данном случае женский. В том же  файле фактов  можно найти такую запись: Я $chooseAdjByGender(нужен, нужна), чтобы отвечать на вопросы посетителей чата Конструкция $chooseAdjByGender(нужен, нужна) позволяет выбрать одно из перечисленных прилагательных, фильтруя их по константе грамматического рода. Таким образом, реплики бота становятся более релевантными ""биологической"" природе бота. 2) Опробована автоматическая генерация правил скриптования бота из текстов диалогов. Это облегчает создание различных сценариев для читчата. Вместо утомительного написания сотен правил, можно набросать примеры диалогов, прогнать их через генератор скриптов, получить  множество правил примерно такого вида . С помощью такого подхода получаются вот такие сессии чит-чата: B:> Привет, давай общаться? H:> Привет, давай B:> Что предлагаешь обсудить? H:> давай музыку B:> Какие музыкальные жанры тебе по душе? H:> например джаз B:> Уважаю, хороший вкус! H:> А тебе что нравится? B:> я люблю компьютеры B:> Ты что из напитков предпочитаешь?",chatbot||chitchat||чатбот||читчат
6,      Чит-чат: игра-угадайка на новых правилах в чатботе  ," Чтобы проверить  расширенные возможности  rule-driven ядра  чатбота , я попробовал написать простую текстовую игру-угадайку. Получились вот такие диалоги: B:> День добрый H:> привет, ты кто? B:> я чатбот B:> Чем ты занимаешься? H:> а ты угадай B:> Давай попробую угадать, кто ты B:> ты учишься или работаешь? H:> ну, я учусь B:> Ты студент? H:> ага B:> Ура, я угадала :) B:> отлично поиграли! B:> Привет, буду рад поговорить H:> а ты кто? B:> я чатбот B:> Чем ты занимаешься? H:> давай ты угадаешь B:> Давай попробую угадать, кто ты B:> ты учишься или работаешь? H:> работаю я B:> Ты госслужащий? H:> нет B:> ты программист? H:> да, верно B:> Ура, я угадала :) B:> отлично поиграли! B:> Привет H:> а ты кто? B:> я чатбот B:> А ты кто? H:> давай ты угадаешь B:> Давай попробую угадать, кто ты B:> ты учишься или работаешь? H:> работаю я B:> Ты госслужащий? H:> нет B:> ты программист? H:> нет B:> Не угадала :( Исходный текст соответствующего сценария можно увидеть  тут, начиная со строки 10175 . Плюсы - как в любом rule-driven подходе с ""handcrafted"" правилами, можно достаточно точно задать сценарий. Минус - неудобно, даже для сценария с пятью состояниями получается длинная портянка с повторами. Полученный опыт трансформируем в следующие задачи для чатбота: 1) Надо попробовать генерацию скриптов на основе диалогов-примеров (что-то типа stories в RASA). 2) Нужен способ более экономного описания правил сценария.",chitchat||чатбот||читчат
7,      Изменения в движке чатбота  ," В движок  чатбота , в его rule-driven подсистему, добавлены две экспериментальные возможности. Собранный докер с этой версией бота  выложен тут . Обе возможности относятся к приоритетным правилам генерации реплики бота. Эти правила срабатывают  до  того, как в дело вступает стандартный механизм подбора ответа в FAQ или релевантного факта в базе знаний. В файле правил  rules.yaml  они находятся в секции с незамысловатым именем ""rules"". В  строке 537  можно увидеть правило, которое анализирует не только непосредственно последнюю реплику собеседника, но предшествующую реплику чатбота. Благодаря учету реплики чатбота можно выдать более-менее уместный ответ на чисто эмоциональное высказывание ""ничего себе"", которое в противном случае могло бы относится к чему угодно. Таким образом, становятся возможными диалоги такого типа: H:> ты человек? B:> я не человек H:> ничего себе B:> Это правда. Вторая возможность демонстрируется правилом в  строке 486 . Оператор state позволяет сохранить в пользовательской сессии произвольную текстовую строку как именованную переменную, а затем проверить проверить содержимое такой переменной. В результате можно в сессии накапливает некоторый ""опыт"", например определять, что пользователь уже не первый раз использует ругательства: B:> Привет H:> ты не человек? B:> я не человек H:> ну ты и дура B:> Ой, мне такие слова не нравятся H:> а ты все равно дура! B:> Жаль, что вы постоянно используете подобные выражения!",chatbot||chitchat||чатбот||читчат
8,      Читая логи чатбота  ," Пробежался глазами по логам чатбота одной очень, очень крупной компании. И вот что бросается в эти самые глаза. Процентов 15 сообщений сводится к "" мне нужен специалист а не робот "". Ну понятно, что чатбот несовершенен, иногда тупит и отвечает вариантами ""я есть Грут"". Но это временные, устранимые недостатки. Лет через пять, по мере улучшения чатботов и параллельного сокращения затрат на живые колл-центры, неизбежно появится и платная услуга ""Поговорить с живым оператором"". Второе следствие взросления технологии - взломы корпоративного чатбота через вербальный канал, а-ля "" Белая трость калибра 7.62",забавные моменты||чат-боты
9,      shallow парсинг и grammar inference для нормализации грязных данных в MDM системе?  ," В результате интерференции родилась такая мысль, надо ее застолбить :) Задача Вот, допустим, есть у нас некая  MDM система , которая помимо прочего в рамках  ETL процедуры  должна уметь забирать описания товара из какой-нибудь 1C. Данные, как это водится, грязные. Вводят их вручную менеджеры, операторы склада или бухгалтеры. А даже если вводят специально выделенные люди (aka ""эксперты НСИ""), то могут быть свои забавные способы впихнуть в короткую текстовую строку самую разную информацию. Хотя, казалось бы, для некоторых материальных сущностей эти описания регламентируются ГОСТами и т.д. В общем, надо эти описания привести к нормальному виду. Один из способов - выделить из грязных данных атрибуты сущности и затем заново собрать описание, уже по регламенту. Вот пример такого разбора для текстовой строки "" Круг h8 0,75 Г14955-77 / 20пс-А-75-ТО Г10702-16 "": 
 
 ОКВЭД2 
 24.10.2 
 
 
 
 Наименование изделия 
 Круг 
 
 
 
 Сопроводительный документ->Сокращённое наименование 
 ГОСТ 10702-2016 
 
 
 
 Длина ПП 
 
 
 
 
 Диаметр 
 0,75 мм 
 
 
 
 Испытание на горячую осадку 
 
 
 
 
 Прокаливаемость 
 
 
 
 
 Группа осадки 
 
 
 
 
 Материал->Марка материала 
 20пс 
 
 
 
 Удаление заусенцев 
 
 
 
 
 Серповидность 
 
 
 
 
 Обезуглероживание 
 
 
 
 
 Класс кривизны 
 
 
 
 
 Вид кромок 
 
 
 
 
 Качество химического состава 
 А 
 
 
 
 Контроль ударной вязкости 
 
 
 
 
 Стандарт на сортамент->Сокращённое наименование 
 ГОСТ 14955-77 
 
 
 
 Балл прокаливаемости 
 
 
 
 
 Состояние поставки 
 ТО 
 
 
 
 Точность проката 
 
 
 
 
 Категория (фасонный прокат) 
 
 
 
 
 Точность по длине 
 
 
 
 
 Группа по макроструктуре 
 
 
 
 
 Назначение 
 а 
 
 
 
 Квалитет 
 h8 
 
 
 
 Класс прочности 
 
 
 
 
 Травление 
 
 
 
 
 Группа отделки поверхности 
 А 
 
 
 
 Способ изготовления 
 
 
 
 
 Ультразвуковой контроль 
 
 
 
 
 Плоскостность 
 
 
 
 
 Твердость 
 
 
 
 
 Контроль макроструктуры 
 
 
 
 
 Гарантия свариваемости 
 
 
 
 Трудности Сейчас разбор сделан на старом добром машобуче - набор классификаторов, градиентный бустинг, нейросеточки, CRF и т.д. И как обычно, там где машобуч, там проблемы генерализуемости и интерпретируемости моделей. Попросту говоря, когда на вход модели приходят какие-то необычные данные, которых она не видела при обучении, имеем неиллюзорные шансы получить на выходе лютый мусор. Обычная схема борьбы с таким явлением - добавление новых данных в обучающий датасет, возможно с аугментацией. Но размеченные данные это всегда очень дорогая штука. В энтерпрайзе, да еще в MDM системе это проявляется крайне выпукло. Попросту говоря, мало кто захочет просто отдать разработчику свои данные. Данные, которые, кстати, могут быть частью коммерческой тайны и т.д. Интерпретируемость - вторая практическая беда. Я даже не говорю о нейросетках, которые обычно проще считать черным ящиком со злой нелинейной магией. В них небольшое изменение входной строки может перекинуть модель на какой-то дико далекий manifold. Поэтому очень трудно дать рекомендацию по аугментации или расширению датасета в случаях, когда модель явно лажает. Инструменты типа  SHAP  и  LIME  забавны, но лично мне не ""зашли"", больше времени всякий раз уходило на обход багов и анализ результатов анализа. Единственный надежный и практичный способ - обучать линейную модель и затем просто анализировать веса фич. Даже деревья решений в любом виде трудны для анализа, особенно если это ансамблевые модели. Матрица же весов линейной модели вкупе с конкретным входным примером позволяет дать четкий ответ - тут у нас такой-то ГОСТ, потому что модель из статистики обучающих данных учитывает ""в плюс"" такие признаки, а ""в минус"" такие, так что досыпайте примеров с такими-то атрибутами. Идея Все описанные выше проблемы типичны для NLP, в частности для синтаксического анализа. Обучив модель на каком-нибудь tree bank'е, нельзя рассчитывать на хорошее ее поведение. Небольшой мусор на входе, опечатки или необычный слить автора могут привести к нереальному бреду на выходе парсера. А вот почему бы не использовать тут старые добрые методы NLP? Как и тексты на естественном языке, текстовые строки описания номенклатуры в MDM обычно структурированы в какой-то степени. В частности, ГОСТом может задаваться порядок вписывания размеров, марки материала и т.д.. Даже ограничения могут быть похожими, например, запрет на  непроективность ,  однократность  заполнения слота и т.д. И вот это позволяет переформулировать задачу разбора строк в MDM как старую добрую задачу shallow парсинга, когда нам надо выделить, например,  составляющие . Более того, так как у нас есть размеченный датасет, так что, наверное, можно реализовать и какую-то форму  grammar inference , чтобы результатом работы была не модель-черный ящик со всем вышеперечисленными проблемами, а  набор правил разбора  для какого-нибудь простого LR-парсера. Вполне может оказаться, что интерпретация результатов в этом случае будет намного более простой.",grammar inference||mdm||shallow parser
